source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048856,anatomical structure development,2.450104837746772e-30,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",5948,520,278,20972,0.5346153846153846,0.04673839946200403,query_1,['GO:0032502']
GO:BP,GO:0032501,multicellular organismal process,9.861280451731156e-28,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,520,310,20972,0.5961538461538461,0.04225160147199128,query_1,['GO:0008150']
GO:BP,GO:0032502,developmental process,9.861280451731156e-28,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6535,520,288,20972,0.5538461538461539,0.044070390206579955,query_1,['GO:0008150']
GO:BP,GO:0007275,multicellular organism development,3.51457518635861e-26,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4690,520,230,20972,0.4423076923076923,0.04904051172707889,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0048731,system development,3.51457518635861e-26,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",4023,520,209,20972,0.40192307692307694,0.051951280139199606,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0009653,anatomical structure morphogenesis,5.413075106895295e-22,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",2699,520,155,20972,0.2980769230769231,0.0574286772878844,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0007155,cell adhesion,5.897508190894428e-18,True,"""The attachment of a cell, either to another cell or to an underlying substrate such as the extracellular matrix, via cell adhesion molecules."" [GOC:hb, GOC:pf]",1512,520,102,20972,0.19615384615384615,0.06746031746031746,query_1,['GO:0009987']
GO:BP,GO:0048513,animal organ development,1.347261044623894e-17,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",3018,520,156,20972,0.3,0.05168986083499006,query_1,['GO:0048856']
GO:BP,GO:0072359,circulatory system development,3.526837602390944e-15,True,"""The process whose specific outcome is the progression of the circulatory system over time, from its formation to the mature structure. The circulatory system is the organ system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells, etc. to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."" [GOC:mah, UBERON:0001009]",1135,520,81,20972,0.15576923076923077,0.07136563876651983,query_1,['GO:0048731']
GO:BP,GO:0007154,cell communication,6.0089909305876955e-15,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6598,520,256,20972,0.49230769230769234,0.038799636253410125,query_1,['GO:0009987']
