source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0050896,response to stimulus,1.1183619334522202e-34,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",9051,959,609,20972,0.635036496350365,0.06728538283062645,query_1,['GO:0008150']
GO:BP,GO:0051716,cellular response to stimulus,3.0385450139222037e-29,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",7425,959,516,20972,0.5380604796663191,0.0694949494949495,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0007154,cell communication,1.989210354930142e-28,True,"""Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:mah]",6598,959,472,20972,0.4921793534932221,0.07153682934222491,query_1,['GO:0009987']
GO:BP,GO:0023052,signaling,3.2270328291791965e-28,True,"""The entirety of a process in which information is transmitted within a biological system. This process begins with an active signal and ends when a cellular response has been triggered."" [GOC:mtg_signal, GOC:mtg_signaling_feb11, GOC:signaling]",6558,959,469,20972,0.48905109489051096,0.07151570600792925,query_1,['GO:0050789']
GO:BP,GO:0007165,signal transduction,9.974323027962515e-28,True,"""The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."" [GOC:go_curators, GOC:mtg_signaling_feb11]",6063,959,442,20972,0.4608967674661105,0.07290120402441036,query_1,"['GO:0007154', 'GO:0009987', 'GO:0023052', 'GO:0050794', 'GO:0051716']"
GO:BP,GO:0032501,multicellular organismal process,1.8875344330619723e-27,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",7337,959,505,20972,0.5265901981230449,0.06882922175275999,query_1,['GO:0008150']
GO:BP,GO:0048583,regulation of response to stimulus,3.991614938125871e-27,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3993,959,328,20972,0.3420229405630866,0.08214375156523916,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0065007,biological regulation,6.20728554694624e-25,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12804,959,741,20972,0.7726798748696558,0.057872539831302715,query_1,['GO:0008150']
GO:BP,GO:0009966,regulation of signal transduction,1.1085713627455117e-24,True,"""Any process that modulates the frequency, rate or extent of signal transduction."" [GOC:sm]",3031,959,265,20972,0.27632950990615224,0.08742989112504124,query_1,"['GO:0007165', 'GO:0010646', 'GO:0023051', 'GO:0048583']"
GO:BP,GO:0050789,regulation of biological process,7.261981700950656e-24,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",12397,959,721,20972,0.7518248175182481,0.05815923207227555,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0010646,regulation of cell communication,7.352286430442949e-24,True,"""Any process that modulates the frequency, rate or extent of cell communication. Cell communication is the process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."" [GOC:dph, GOC:tb]",3480,959,289,20972,0.3013555787278415,0.08304597701149426,query_1,"['GO:0007154', 'GO:0050794']"
GO:BP,GO:0023051,regulation of signaling,1.100429276980103e-23,True,"""Any process that modulates the frequency, rate or extent of a signaling process."" [GOC:mtg_signal]",3473,959,288,20972,0.30031282586027114,0.08292542470486611,query_1,"['GO:0023052', 'GO:0050789']"
GO:BP,GO:0032502,developmental process,6.206417185599778e-23,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6535,959,450,20972,0.4692387904066736,0.06885998469778118,query_1,['GO:0008150']
GO:BP,GO:0048518,positive regulation of biological process,8.215585734495456e-23,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",6150,959,430,20972,0.4483837330552659,0.06991869918699187,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0008283,cell population proliferation,1.9366037723191942e-22,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",1961,959,192,20972,0.20020855057351408,0.09790922998470168,query_1,['GO:0009987']
